Month,Year,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
1,2020,PRO,1553373.382917,2222377776
1,2020,RES,5435971.649072,16881876558
1,2021,PRO,1587475.322297,2236913376
1,2021,RES,6325564.867157,16942242368
1,2022,PRO,1576470.455932,2275062192
1,2022,RES,5900765.100749,17130430182
2,2020,PRO,1333029.938407,2081608416
2,2020,RES,4561214.448525,15819393194
2,2021,PRO,1306247.042241,2025459456
2,2021,RES,4992251.650644,15321534468
2,2022,PRO,1300033.420229,2058741936
2,2022,RES,4571272.329514,15499740152
3,2020,PRO,1207257.557905,2222515370
3,2020,RES,4731029.272365,16901950564
3,2021,PRO,1308122.341706,2243404924
3,2021,RES,4845896.548631,16947643972
3,2022,PRO,1290662.005697,2279022360
3,2022,RES,4257897.51088,17153233220
4,2020,PRO,832096.373376,2153220288
4,2020,RES,3263751.635356,16364154224
4,2021,PRO,1086285.096172,2181519404
4,2021,RES,3976542.267804,16459376932
4,2022,PRO,1117878.23935,2212270464
4,2022,RES,3463395.102664,16636742324
5,2020,PRO,863356.319288,2225534880
5,2020,RES,2965023.178212,16899701644
5,2021,PRO,1015920.691705,2268013180
5,2021,RES,3352233.148431,17104127327
5,2022,PRO,943810.470417,2289347712
5,2022,RES,2508049.106479,17196577268
6,2020,PRO,880425.217353,2153702256
6,2020,RES,2552686.932392,16355378382
6,2021,PRO,921461.162082,2190857948
6,2021,RES,2487817.504769,16468714590
6,2022,PRO,914361.619182,2216420160
6,2022,RES,2351593.928802,16647436128
7,2020,PRO,929527.808076,2225375616
7,2020,RES,2428307.454899,16891544958
7,2021,PRO,912017.551753,2263843056
7,2021,RES,2311448.384575,16998743334
7,2022,PRO,917723.25315,2288656656
7,2022,RES,2220063.101602,17185086000
8,2020,PRO,897898.34136,2224684560
8,2020,RES,2397104.715204,16880288772
8,2021,PRO,853867.245246,2261171856
8,2021,RES,2216944.051477,16984223464
8,2022,PRO,872220.579792,2286688512
8,2022,RES,2116311.677237,17168072588
9,2020,PRO,950175.494825,2153991744
9,2020,RES,2510413.810616,16355284768
9,2021,PRO,931582.012462,2190401664
9,2021,RES,2320140.835191,16465498138
9,2022,PRO,919976.432562,2216216592
9,2022,RES,2294275.330852,16647110208
10,2020,PRO,1170954.454149,2231952138
10,2020,RES,3689821.979973,16940282302
10,2021,PRO,1101959.179076,2226198502
10,2021,RES,3316314.386536,16751966165
11,2020,PRO,1165783.23939,2158400832
11,2020,RES,4294769.507682,16379091650
11,2021,PRO,1365628.966332,2196318240
11,2021,RES,4827606.575758,16531000026
12,2020,PRO,1453250.268152,2233520304
12,2020,RES,5554629.873646,16935618560
12,2021,PRO,1521622.982173,2272736880
12,2021,RES,5577488.029505,17112964400
